split,precision,recall,f1-score,support
0.01,0.21855993721797135,0.1056847164999019,0.1394807403047544,17056.0
0.02,0.49179255771368774,0.3556879863972271,0.39728014611769763,17056.0
0.03,0.6103672094696226,0.47368877117258523,0.5139577902968133,17056.0
0.04,0.669576875286116,0.5439245307697338,0.5790208058895523,17056.0
0.05,0.6812177097639134,0.5463933032502779,0.5865978586843802,17056.0
0.06,0.7245847230396966,0.6009188411483879,0.6362475125423919,17056.0
0.07,0.7520845595448303,0.6383330063436008,0.6697293926399283,17056.0
0.08,0.7653685174285527,0.6582826499247924,0.6867604971489609,17056.0
0.09,0.7757831404093911,0.6710434242364789,0.6994385119164401,17056.0
0.1,0.7930400235432608,0.6893908181283108,0.7173624541046554,17056.0
0.2,0.8455545745863581,0.7684046170950233,0.7854814223119109,17056.0
0.3,0.8625253417042704,0.7976391341311883,0.8097150985173351,17056.0
0.4,0.8759973186841933,0.8166339676934145,0.8271385907053947,17056.0
0.5,0.8865427375580406,0.8219720750768427,0.8350427889421416,17056.0
0.6,0.8848342162056111,0.8317621476685633,0.8398090535671465,17056.0
0.7,0.8915293309790072,0.8420803086783076,0.8485883386118819,17056.0
0.8,0.891210515989798,0.8460663135177555,0.8504468081130825,17056.0
0.9,0.8946112092080308,0.8609672356288013,0.8604469326805995,17056.0
